,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,04.05.2022,3.3448,2.5294,3.6689,4.7958,0.2007,0.6649,0.2544,4.9471,5.8789,1.3064,3.6146,0.2525,0.4995,1.057,0.0704,0.4757,0.317,4.7017,0.297,0.948,0.7115,0.0615,0.3713,0.2318,3.0299,0.0421,0.1599,1.28,0.6553,0.1369,282.6498,6.3112
2,03.05.2022,3.3422,2.5293,3.6585,4.8161,0.2004,0.665,0.2547,4.9469,5.8976,1.296,3.6169,0.2516,0.4983,1.0528,0.0671,0.4768,0.3164,4.7077,0.294,0.9256,0.7124,0.0614,0.3716,0.2306,3.025,0.042,0.1601,1.2817,0.6546,0.1364,281.2713,6.3175
3,02.05.2022,3.3228,2.5296,3.6533,4.8314,0.2007,0.665,0.2544,4.9476,5.9101,1.3062,3.6187,0.2543,0.4985,1.0572,0.0661,0.4747,0.3158,4.701,0.2967,0.9454,0.7114,0.0615,0.371,0.2305,3.031,0.042,0.1599,1.2799,0.6544,0.1367,284.2468,6.314
4,29.04.2022,3.349,2.5298,3.6702,4.829,0.2016,0.6649,0.253,4.948,5.8793,1.3122,3.5869,0.2543,0.5034,1.0602,0.0657,0.479,0.3154,4.6774,0.2941,0.947,0.7096,0.0612,0.3716,0.2308,3.0529,0.042,0.1547,1.2734,0.6538,0.1365,287.9962,6.2922
5,28.04.2022,3.3475,2.5296,3.6644,4.8422,0.2019,0.6648,0.2538,4.9475,5.8871,1.3118,3.5991,0.2525,0.5025,1.0551,0.0645,0.4807,0.3175,4.7005,0.2961,0.9467,0.7108,0.0615,0.3693,0.2305,3.0577,0.042,0.1554,1.2797,0.654,0.1364,285.7402,6.3089
6,27.04.2022,3.3321,2.5295,3.6297,4.8359,0.2018,0.6649,0.2515,4.9474,5.8688,1.3029,3.644,0.2506,0.5041,1.0508,0.0629,0.4743,0.3145,4.6601,0.2933,0.9322,0.7109,0.0609,0.3683,0.2288,3.062,0.0421,0.1585,1.2687,0.6541,0.1358,284.3458,6.2893
7,26.04.2022,3.3377,2.5287,3.6329,4.8263,0.2025,0.6648,0.2494,4.9457,5.8863,1.3177,3.6195,0.2476,0.5037,1.0644,0.0623,0.4761,0.3128,4.6265,0.2952,0.9485,0.7067,0.0604,0.3689,0.2286,3.0701,0.042,0.1573,1.2596,0.654,0.1352,283.2758,6.2633
8,21.04.2022,3.3737,2.5279,3.6336,4.779,0.2027,0.6645,0.2439,4.9441,5.9197,1.3301,3.5393,0.2461,0.5159,1.0634,0.057,0.4815,0.3087,4.5321,0.2977,0.9805,0.703,0.0595,0.3667,0.226,3.0769,0.042,0.1541,1.2339,0.6538,0.1339,283.5402,6.1972
9,20.04.2022,3.3826,2.5269,3.6261,4.8003,0.2024,0.6643,0.2464,4.9422,5.9302,1.3309,3.5536,0.2477,0.5186,1.0669,0.0561,0.4818,0.3102,4.5496,0.3039,0.975,0.7098,0.0597,0.3682,0.228,3.087,0.042,0.1548,1.2386,0.6535,0.1348,284.9153,6.2161
10,19.04.2022,3.3741,2.5265,3.6323,4.8347,0.2023,0.6643,0.2477,4.9415,5.9615,1.3222,3.5636,0.2478,0.5176,1.0649,0.0575,0.4783,0.3121,4.575,0.3093,0.9831,0.7171,0.0598,0.3694,0.2309,3.0862,0.042,0.155,1.2456,0.6538,0.1356,290.646,6.242
